ID	Gene.symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
H3021F12_1		-1.309325	-0.79246875	-6.36198076669299	6.81221122512181e-06	0.10321181227182	-2.4988983995329
H3146C08_1	Mcm6	-2.106225	-1.16480625	-5.60934102924437	3.03117684480939e-05	0.152765346457192	-2.70085676830383
H3008B04_1	Ccne1	-1.239125	-0.76234375	-5.51055202038942	3.70735842650157e-05	0.152765346457192	-2.73034087274308
H3036F10_1	Lig1	-1.117425	-0.9294	-5.46940565095696	4.03314227330717e-05	0.152765346457192	-2.7428372193163
H3003F02_1	Rrm2	-2.12185	-1.40788125	-5.27851924691141	5.97717795030039e-05	0.181120446250003	-2.80250381275019
H3084D05_1		-1.302675	-0.85573125	-4.75640310250918	0.000178979992491167	0.451954311038944	-2.98046634048242
H3026H03_1	Mcm3	-1.363125	-1.1701875	-4.49953841003065	0.000309965862806542	0.670898969625987	-3.07621868617674
H3138B12_1	Dek	-0.9938	-0.76210625	-4.3361439094063	0.00044074184317269	0.834709958238678	-3.13998028944327
H3106E03_1	Igfbp4	-0.948925	-0.7107875	-4.21634203711922	0.000571134870539788	0.961473824838704	-3.18813284900003
H3009B04_1	Fen1	-1.13125	-0.794925	-4.12110253526995	0.000702184769061738	0.999805217187098	-3.22725048606303
H3092E09_1	Egr1	-1.49495	-0.77075625	-4.04203683846842	0.000833795069585341	0.999805217187098	-3.26028151251796
H3137H03_1	Mcm2	-1.0851	-0.79850625	-4.02248564337133	0.000870009022877213	0.999805217187098	-3.26852636664749
H3116D03_1	Rad51	-1.0109	-1.00319375	-3.97728205569311	0.000959920163143925	0.999805217187098	-3.28770480466527
H3103B03_1	Nasp	-0.780875	-0.60439375	-3.92956996392612	0.00106498555621869	0.999805217187098	-3.30812146734201
H3024A11_1	Rrm2	-1.9275	-1.46169375	-3.8236709795453	0.00134133451387534	0.999805217187098	-3.35406465704053
H3044E02_1	Rrm2	-1.1779	-1.03265	-3.79497697875866	0.00142789571885889	0.999805217187098	-3.36665961312119
H3007F05_1		-0.687675	-0.48019375	-3.70526022638615	0.0017363014639666	0.999805217187098	-3.40643236186663
H3059G03_1	Tfrc	-0.68605	-0.0656125	-3.68400990109324	0.00181861404541693	0.999805217187098	-3.41593848585511
H3029E03_1	Dhfr	-0.743675	-0.64839375	-3.66641153543718	0.00188972219302088	0.999805217187098	-3.42383529593787
H3008C04_1	Incenp	-0.873525	-0.9947375	-3.64014375848702	0.00200105365901382	0.999805217187098	-3.43566291944296
H3146E01_1	Rpa2	-0.940675	-0.70076875	-3.63875211836595	0.002007131058426	0.999805217187098	-3.43629088280702
H3118E08_1	Ibtk	-1.388225	-1.281775	-3.61756226234906	0.00210197492253528	0.999805217187098	-3.44586921067748
H3154A03_1	RAN///Ran///Rasl2-9///Ran///RAN	-0.6306	-0.55754375	-3.53866975925679	0.00249603154093899	0.999805217187098	-3.48179999986776
H3074H03_1	Tcf19	-0.932225	-0.7954	-3.52257617737913	0.00258502298299491	0.999805217187098	-3.48918071275773
H3008F02_1	Cdc6	-0.7278	-0.32431875	-3.4732882338018	0.00287764609539239	0.999805217187098	-3.51188928494197
H3013B11_1	Dek	-0.91585	-0.85149375	-3.46355155740225	0.00293922810721147	0.999805217187098	-3.51639362661036
H3036F09_1	Top2a	-1.314125	-1.42079375	-3.42184640604915	0.00321812744257714	0.999805217187098	-3.53575395325475
H3012D09_1	2410015N17Rik	-0.80425	-0.91708125	-3.40971601552994	0.00330406191622495	0.999805217187098	-3.54140514643123
H3087E05_1	Chaf1a	-1.000475	-0.77508125	-3.39480933106568	0.00341278057994075	0.999805217187098	-3.54836188085402
H3086F01_1	Tfrc	-0.794925	-0.06475625	-3.39466749397864	0.00341383185684259	0.999805217187098	-3.54842813804105
H3136B03_1		-0.561475	-0.0518875	-3.32902273408158	0.00393639463320236	0.999805217187098	-3.57921949688764
H3090B04_1	Usp1	-0.797925	-0.6346375	-3.29706950484998	0.00421859805252193	0.999805217187098	-3.59429611411397
H3113C05_1	Gmnn	-1.05745	-1.13780625	-3.27221239094157	0.00445184254713618	0.999805217187098	-3.60606313350479
H3087F06_1	Cdca7l	-0.8016	-0.5248375	-3.26144083774274	0.00455681986734474	0.999805217187098	-3.61117248726355
H3084D11_1	Spry4	-1.529525	-1.23094375	-3.25635518766352	0.00460722698156221	0.999805217187098	-3.6135869249604
H3034H02_1	Myl4	0.993075	-0.120225	3.2342579352795	0.00483269499426937	0.999805217187098	-3.62409329191544
H3127F05_1	Ppfibp1	-0.4835	0.13825	-3.2152024479348	0.00503581594407226	0.999805217187098	-3.6331734126043
H3045H04_1	Myh10///Myh9///Myh11	-0.55335	-0.328375	-3.21484088986083	0.00503974997441273	0.999805217187098	-3.63334587454024
H3024G01_1	Mcm5	-1.2441	-0.7633875	-3.21153823196849	0.0050758255249214	0.999805217187098	-3.63492153154871
H3009F03_1	H2AFZ///H2afz///H2afz///H2AFZ	-0.6643	-0.7183125	-3.19606002354494	0.00524830626212113	0.999805217187098	-3.64231315995076
H3137G04_1	F730047E07Rik	-0.724625	-0.5723125	-3.18889322603049	0.00533010652165226	0.999805217187098	-3.6457396271085
H3011B02_1	H2AFZ///H2afz///H2afz///H2AFZ	-0.66295	-0.75434375	-3.17611699410492	0.00547904737878484	0.999805217187098	-3.65185410240146
H3026E12_1	Uhrf1	-0.80125	-0.9789	-3.15803039569852	0.00569689930698143	0.999805217187098	-3.66052320951768
H3116F04_1	Hrbl	-0.5575	-0.17486875	-3.15774433462314	0.00570041224996098	0.999805217187098	-3.66066044416648
H3049D02_1		0.66325	-0.1283125	3.15163361940912	0.00577596354935626	0.999805217187098	-3.66359289252321
H3087F07_1		-0.561875	-0.04261875	-3.15158615262805	0.00577655424156841	0.999805217187098	-3.66361567789027
H3148G06_1	Racgap1	-0.9458	-1.26463125	-3.15002456810126	0.00579602016557867	0.999805217187098	-3.66436533910132
H3088F04_1		-0.492225	-0.089575	-3.14377012648442	0.00587463136884116	0.999805217187098	-3.66736898807561
H3043D02_1		1.068275	-0.2265625	3.14298874682304	0.00588452554931539	0.999805217187098	-3.66774436459092
H3119C06_1	Nol5	-0.612325	-0.31448125	-3.14289400135557	0.00588572636849987	0.999805217187098	-3.66778988239999
H3146G01_1	Tfdp1	-0.652525	-0.35030625	-3.13819995598582	0.00594552103134445	0.999805217187098	-3.67004551213883
H3074G11_1	Tcf19	-0.67105	-0.621125	-3.13735750114368	0.00595631537964433	0.999805217187098	-3.67045044189007
H3023C08_1	Rrm1	-0.9052	-0.9501625	-3.13671777002937	0.00596452505801739	0.999805217187098	-3.67075795282118
H3131H05_1	Ppm1l	0.5548	0.04565	3.12075969215872	0.00617293972610089	0.999805217187098	-3.6784346938121
H3099F06_1	Ttll11	-0.43895	0.01814375	-3.10588456915313	0.00637362162615672	0.999805217187098	-3.68560050594389
H3127F04_1	Chst11	-0.522775	-0.249075	-3.09257131546877	0.006558635523098	0.999805217187098	-3.69202193900145
H3013C12_1	Smc4	-0.61425	-0.9092875	-3.07454316050847	0.00681756377325611	0.999805217187098	-3.70072930610359
H3158E03_1	Mthfd2///Mthfd2	-1.02305	-1.06134375	-3.06430568675025	0.00696901753388077	0.999805217187098	-3.70567976521485
H3032B01_1	Nol5	-0.625375	-0.227975	-3.06032507280116	0.00702878995867599	0.999805217187098	-3.70760577169523
H3086B06_1		-0.5018	-0.0496125	-3.05899648791519	0.0070488510251902	0.999805217187098	-3.70824874255513
H3049F02_1	Cbr3	-0.905	-0.8038	-3.05634687230366	0.00708902613935218	0.999805217187098	-3.70953123602294
H3078E03_1	Dnajc9	-0.6166	-0.71443125	-3.05430065315443	0.0071202050703388	0.999805217187098	-3.71052185604039
H3048G06_1	Srm	-0.522125	-0.2776875	-3.05407860264902	0.00712359656911893	0.999805217187098	-3.71062936546217
H3013B05_1	Nolc1	-0.4935	-0.15878125	-3.03496192315937	0.00742156245166896	0.999805217187098	-3.71989215817992
H3002A09_1	2810417H13Rik	-1.28965	-1.11636875	-3.00551789251206	0.00790441617374587	0.999805217187098	-3.73418570781739
H3042A11_1	Usp1	-1.03345	-0.796575	-2.99850335416197	0.00802388595687287	0.999805217187098	-3.73759550867643
